Computer Name,Date        ,Status
BDSCWKNAEAGCFFB,4/13/2020,Offline
BDSCWKN1PAEC15C,4/13/2020,Offline
BDSCWKNAEASC1A3,4/13/2020,Offline
BDSCWKNAEAS802B,4/13/2020,Online
BDSCWKNAEAS5321,4/13/2020,Offline
BDSCWKNAEAG644A,4/13/2020,Offline
BDSCWKNAEAG64D0,4/13/2020,Offline
BDSCNBNAEAGEFF1,4/13/2020,Offline
BDSCWKNAEAGC010,4/13/2020,Offline
BDSCNBNAEAGF221,4/13/2020,Offline
BDSCNBNAEAGF062,4/13/2020,Offline
BDSCNBNAEAGBC25,4/13/2020,Offline
BDSCWKNAEAG6430,4/13/2020,Offline
BDSCWKNAEASBBCB,4/13/2020,Offline
BDSCNBNAEAGF0A2,4/13/2020,Offline
BDSCNBNAEAGE82B,4/13/2020,Offline
BDSCWKNAEAGBFD1,4/13/2020,Offline
BDSCWKNAEASC215,4/13/2020,Offline
BDSCWKNAEAG65DB,4/13/2020,Offline
BDSCWKNAEAGBF6C,4/13/2020,Offline
BDSCWKNAEAGBD5F,4/13/2020,Offline
BDSCWKNAEAGCD48,4/13/2020,Offline
BDSCWKNAEASC82C,4/13/2020,Offline
BDSCWKNAEAS6435,4/13/2020,Offline
BDSCWKNAEAS778A,4/13/2020,Offline
BDSCWKNAEAS9EF5,4/13/2020,Offline
BDSCNBNMCT1E4E9,4/13/2020,Offline
BDSCNBNCJTF083C,4/13/2020,Offline
BDSCWKNAEAGC63C,4/13/2020,Offline
BDSCWKNAEAG5A64,4/13/2020,Offline
BDSCWKNAEAGC677,4/13/2020,Offline
BDSCWKNAEAGBC18,4/13/2020,Offline
BDSCNBN160SB695,4/13/2020,Offline
BDSCWKNAEAS9B79,4/13/2020,Offline
BDSCWKNAEAG5A3C,4/13/2020,Offline
BDSCMFNTFMDB44B,4/13/2020,Offline
BDSCWKNAEAGBCB1,4/13/2020,Offline
BDSCWKNAEAG5B99,4/13/2020,Offline
BDSCNBNAEAGF223,4/13/2020,Offline
BDSCNBNCMDTCABB,4/13/2020,Offline
BDSCWKNAEAS9869,4/13/2020,Offline
BDSCWKNAEAG7DEF,4/13/2020,Offline
BDSCWKNAEAGC671,4/13/2020,Offline
BDSCWKNAEAGCC42,4/13/2020,Offline
BDSCWKNAEAGBD90,4/13/2020,Offline
BDSCWKNAEAS136B,4/13/2020,Offline
BDSCWKNAEASBBAC,4/13/2020,Offline
BDSCWKNAEAS00EB,4/13/2020,Offline
BDSCWKNAEAS45E1,4/13/2020,Offline
BDSCWKNAEAS2900,4/13/2020,Offline
BDSCWKNAEAGB9E9,4/13/2020,Offline
BDSCWKNAEAS9655,4/13/2020,Offline
BDSCWKNAEAS5BA0,4/13/2020,Offline
BDSCNBNTFMD3CCC,4/13/2020,Offline
BDSCWKNAEAS32E5,4/13/2020,Offline
BDSCWKNAEAG5BC2,4/13/2020,Offline
BDSCWKNAEAS5BFB,4/13/2020,Offline
BDSCNBNMONS8E28,4/13/2020,Online
BDSCNBNTEST376E,4/13/2020,Offline
BDSCNBN160S67D0,4/13/2020,Online
BDSCNBN160SA312,4/13/2020,Online
BDSCNBN160S2BFE,4/13/2020,Offline
BDSCNBN160S1E1D,4/13/2020,Online
BDSCNBN160SA575,4/13/2020,Online
BDSCNBN160S4395,4/13/2020,Online
BDSCNBN160S6F03,4/13/2020,Online
BDSCNBN160SB05A,4/13/2020,Online
BDSCNBN160S131C,4/13/2020,Online
BDSCNBN160S9DDF,4/13/2020,Online
BDSCNBN160SAF38,4/13/2020,Online
BDSCNBN160SFFD5,4/13/2020,Online
BDSCNBN160SC52D,4/13/2020,Offline
BDSCNBN160SA5CA,4/13/2020,Online
BDSCWKN160S6C51,4/13/2020,Online
BDSCNBN160SADE1,4/13/2020,Online
BDSCNBN160SAF2D,4/13/2020,Online
BDSCNBN160SB21A,4/13/2020,Offline
BDSCWKN160SC144,4/13/2020,Online
BDSCWKN160SA53D,4/13/2020,Online
BDSCNBN160SA31B,4/13/2020,Online
BDSCNBN160SAACF,4/13/2020,Online
BDSCNBN160SE309,4/13/2020,Online
BDSCNBN160SAE00,4/13/2020,Online
BDSCNBN160SA2D2,4/13/2020,Online
BDSCNBN160SA41F,4/13/2020,Online
BDSCNBNEACSE55D,4/13/2020,Online
BDSCNBNEACSF01F,4/13/2020,Online
BDSCNBNEACSE39C,4/13/2020,Online
BDSCNBNEACSE36F,4/13/2020,Online
BDSCNBNEACSEFCC,4/13/2020,Online
BDSCNBNEACSE552,4/13/2020,Online
BDSCNBNCACI5CB3,4/13/2020,Online
BDSCNBNCACI59AE,4/13/2020,Offline
BDSCNBNCACID51C,4/13/2020,Online
BDSCNBNCJTF8D6D,4/13/2020,Online
BDSCNBNCJTF3AE0,4/13/2020,Online
BDSCNBNCJ6305BC,4/13/2020,Online
BDSCNBNCJTF8B5C,4/13/2020,Online
BDSCNBNCJTF8AF8,4/13/2020,Online
BDSCNBNCROW30CF,4/13/2020,Online
BDSCNBNCMDT8CB4,4/13/2020,Online
BDSCNBNCMDTA567,4/13/2020,Online
BDSCNBNCMDT8CFC,4/13/2020,Online
BDSCNBNCMDT2CC5,4/13/2020,Online
BDSCNBNCMDTA3AB,4/13/2020,Online
BDSCWKNHRC028F4,4/13/2020,Online
BDSCNBNCMDTD151,4/13/2020,Online
BDSCNBN1FLEDD12,4/13/2020,Offline
BDSCNBN1FLE8AC2,4/13/2020,Online
BDSCNBN1FLE469F,4/13/2020,Online
BDSCNBN1FLE109F,4/13/2020,Online
BDSCNBN1FLE40E4,4/13/2020,Online
BDSCNBN1FLEB5E5,4/13/2020,Online
BDSCNBN1FLEDF67,4/13/2020,Online
BDSCWKN1FLE7962,4/13/2020,Online
BDSCNBN1FLE93C1,4/13/2020,Offline
BDSCNBN1FLEE740,4/13/2020,Online
BDSCNBN1FLEC472,4/13/2020,Online
BDSCNBN1FLE082C,4/13/2020,Online
BDSCNBN1FLEBE35,4/13/2020,Online
BDSCNBN1FLE082D,4/13/2020,Online
BDSCNBN1FLE161B,4/13/2020,Offline
BDSCNBN1FLE7581,4/13/2020,Online
BDSCNBN1FLE105F,4/13/2020,Online
BDSCNBN1FLE6D41,4/13/2020,Online
BDSCNBN1FLE3631,4/13/2020,Online
BDSCNBN1FLE6D1D,4/13/2020,Online
