"Computer         ","Status","V-100093","V-63323","V-63345","V-63351","V-63355","V-63357","V-63359","V-63361","V-63363","V-63367","V-63371","V-63393","V-63399","V-63545","V-63587","V-63595","V-63599","V-63685","V-63739","V-68845","V-74413","V-76505","V-77085","V-77091","V-77095","V-77097","V-77101","V-77103","V-77189","V-77191","V-77195","V-77201","V-77205","V-77209","V-77213","V-77217","V-77221","V-77223_a","V-77223_b","V-77223_c","V-77227","V-77231","V-77233","V-77235","V-77239","V-77243","V-77245","V-77247","V-77249","V-77255","V-77259","V-77263","V-77267","V-77269","V-88203","V-94861","V-99563","PSComputerName","RunspaceId","PSShowComputerName"
"BDSCNBNDET5F07D","Online","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","e8c6fca6-e264-41bd-be6a-1e4bade2277b","False"
"BDSCWKNAEASC1A3","Online","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","d89cc498-0b3a-4dbb-9253-626fdba911b9","False"
"BDSCNBN160SA312","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","ac25d5ab-c808-4267-a506-1841646bc03d","False"
"BDSCNBN160S1E1D","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","67a876d8-4e02-4353-a06c-e2bd4ffddd8f","False"
"BDSCNBN160SA575","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","d11ec198-a2fa-4da9-9a1b-11e73d1dfccb","False"
"BDSCWKN160S45E1","Online","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","de8ac637-5e2a-4b80-be82-89987ca2b90d","False"
"BDSCNBN160S131C","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","localhost","1d0a8560-1fd5-40a3-b7c8-2848c21efe28","False"
"BDSCNBN160S6F03","Online","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","9077733c-827a-4880-9a7a-d1983350dea3","False"
"BDSCNBN160S9DDF","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Fail","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Pass","Fail","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Fail","Fail","localhost","12e86e10-6a83-4f4b-85d0-6b274491d5d9","False"
"BDSCNBN160SB21A","Online","Fail","Pass","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","localhost","4c0160c1-400e-4ad1-9471-c651d75fff03","False"
