"Computer         ","Status","V-63357"
"BDSCNBN160SB21A","Online","Fail"
"BDSCNBN160SC52D","Online","Fail"
"BDSCNBN160SE309","Online","Pass"
"BDSCNBN160SFFD5","Online","Fail"
"BDSCNBN1FLE082C","Online","Fail"
"BDSCNBN1FLE082D","Online","Fail"
"BDSCNBN1FLE109F","Online","Fail"
"BDSCNBN1FLE3631","Online","Fail"
"BDSCNBN1FLE40E4","Online","Fail"
"BDSCNBN1FLE469F","Online","Fail"
"BDSCNBN1FLE6674","Online","Fail"
"BDSCNBN1FLE6D24","Online","Fail"
"BDSCNBN1FLE8AC2","Online","Fail"
"BDSCNBN1FLE93C1","Online","Fail"
"BDSCNBN1FLE9BDF","Online","Fail"
