"Computer         ","Status","V-63341","V-63345","V-63355","V-63357","V-63393","V-63399","V-63587","V-77091","V-77095","V-77097","V-77101","V-77103"
"BDSCNBN1FLE190D","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNCMDTA567","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNCMDTCABB","Online","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNCROW30CF","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNEACSE36F","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNMCTF47E9","Online","Fail","","N/A","Fail","","Fail","","Fail","Fail","Fail","Fail","Fail"
"BDSCNBNMONS8E28","Online","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNTFMD51B3","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNTFMD583C","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNTFMD8B3A","Online","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCNBNTFMDD6C3","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKN1FLE7962","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAG5BC2","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAG65DB","Online","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAGBCB1","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAGBF6C","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAGC63C","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAGCBAB","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAGCC56","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"BDSCWKNAEAGCD48","Online","Pass","Pass","Pass","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
