"Computer         ","Status","V-68845","V-77245","PSComputerName","RunspaceId","PSShowComputerName"
"BDSCNBN160S67D0","Online","Pass","Pass","localhost","5bdf787d-b168-45ca-81b8-adf7ae02af86","False"
"BDSCNBN160SA312","Online","Pass","Pass","localhost","41461154-4fee-4cbd-b00f-aea74ba63574","False"
"BDSCNBN160S1E1D","Online","Pass","Pass","localhost","8fad52bb-fc82-4d35-b165-7a0cd9adc832","False"
"BDSCNBN160SA575","Online","Pass","Pass","localhost","03dbb2f4-415d-4d75-850b-605586071f74","False"
"BDSCNBN160SB05A","Online","Pass","Pass","localhost","f06929c0-208e-4d43-bbdd-42ddf8593619","False"
"BDSCNBN160SA41F","Online","Pass","Pass","localhost","d00c0276-e071-479a-9518-88ff6afa9624","False"
"BDSCNBN160SA5CA","Online","Pass","Fail","localhost","36ae881a-0f6b-4af2-ab57-fd7166c147a4","False"
"BDSCWKN160S6C51","Online","Pass","Pass","localhost","7d6a6fa2-de71-4bac-be9d-f828e797c4d0","False"
"BDSCNBN160SADE1","Online","Pass","Pass","localhost","80586d58-d836-4382-ab92-dc456d411699","False"
"BDSCNBN160S4395","Online","Pass","Pass","localhost","c8a1e2c6-b4aa-4d61-94be-8935e6692189","False"
"BDSCNBN160SAF2D","Online","Pass","Fail","localhost","5e1d6b86-ea82-4462-9300-9d4f19d400d8","False"
"BDSCNBN160S131C","Online","Pass","Fail","localhost","2aa9fb86-0958-46c2-834b-9fedc456d414","False"
"BDSCNBN160S9DDF","Online","Pass","Pass","localhost","2adafd12-6085-477e-af5a-1bbe46b74020","False"
"BDSCNBN160SAF38","Online","Pass","Fail","localhost","220829d4-c303-484e-beb1-470bcdb3f0a4","False"
"BDSCNBN160SFFD5","Online","Pass","Fail","localhost","45bd21a3-68fc-44cc-bfdf-f61a2f24f9f8","False"
"BDSCWKN160SC144","Online","Pass","Pass","localhost","f7768a6f-36c8-4e5c-b2e0-6cd0102ed32e","False"
"BDSCWKNAEASC1A3","Online","Pass","Pass","localhost","eef51446-d856-4206-bb03-d0c48dde6bb6","False"
