"title","date","link"
"Compilation - SRG-STIG Library ","2023-11-07","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_SRG-STIG_Library_2023_010v1.zip"
"VMware vSphere 8.0 STIG ","2023-11-03","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_VMW_vSphere_8-0_Y23M10_STIG.zip"
"Red Hat Enterprise Linux 8 STIG - Ver 1, Rel 12 ","2023-11-02","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_RHEL_8_V1R12_STIG.zip"
"Oracle Linux 8 STIG - Ver 1, Rel 8 ","2023-11-02","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Oracle_Linux_8_V1R8_STIG.zip"
"Group Policy Objects (GPOs) - October 2023 ","2023-11-02","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_STIG_GPO_Package_October_2023.zip"
"Microsoft Windows 10 STIG - Ver 2, Rel 8 ","2023-11-02","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_10_V2R8_STIG.zip"
"Microsoft Windows Privileged Access Workstation (PAW) STIG - Ver 2, Rel 3 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_PAW_V2R3_STIG.zip"
"Microsoft Windows Server 2016 STIG - Ver 2, Rel 7 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_Server_2016_V2R7_STIG.zip"
"Sunset - Microsoft Windows 2012 and 2012 R2 MS STIG - Ver 3, Rel 7 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_2012_and_2012_R2_MS_V3R7_STIG.zip"
"Sunset - Microsoft Windows Server 2012 and 2012 R2 DC STIG Benchmark - Ver 3, Rel 6 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_2012_and_2012_R2_DC_V3R6_STIG_SCAP_1-2_Benchmark.zip"
"Microsoft Windows 11 STIG - Ver 1, Rel 5 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_11_V1R5_STIG.zip"
"Microsoft Windows Server 2016 STIG Benchmark - Ver 2, Rel 5 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_Server_2016_V2R5_STIG_SCAP_1-2_Benchmark.zip"
"Microsoft Windows Server 2019 STIG - Ver 2, Rel 8 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_Server_2019_V2R8_STIG.zip"
"Microsoft Windows Server 2019 STIG Benchmark - Ver 2, Rel 5 ","2023-10-30","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_Windows_Server_2019_V2R5_STIG_SCAP_1-2_Benchmark.zip"
