Rule ID,Vuln ID,Rule ID,len,CCI,STIG Title
SV-252843r879522_rule,V-252843,SV-252843r879522_rule,502,CCI-000015; CCI-000016; CCI-000044; CCI-000134; CCI-000154; CCI-000162; CCI-000163; CCI-000164; CCI-000187; CCI-000192; CCI-000193; CCI-000194; CCI-000195; CCI-000196; CCI-000197; CCI-000198; CCI-000199; CCI-000200; CCI-000205; CCI-000206; CCI-000213; CCI-000764; CCI-000765; CCI-000766; CCI-000795; CCI-001090; CCI-001350; CCI-001368; CCI-001403; CCI-001493; CCI-001494; CCI-001495; CCI-001499; CCI-001619; CCI-001764; CCI-001812; CCI-001813; CCI-001814; CCI-001941; CCI-002142; CCI-002235; CCI-002238,Rancher Government Solutions Multi-Cluster Manager Security Technical Implementation Guide
SV-256842r890136_rule,V-256842,SV-256842r890136_rule,334,CCI-000015; CCI-000017; CCI-000044; CCI-000172; CCI-000192; CCI-000193; CCI-000194; CCI-000195; CCI-000196; CCI-000198; CCI-000199; CCI-000200; CCI-000205; CCI-000795; CCI-001133; CCI-001619; CCI-001682; CCI-001683; CCI-001684; CCI-001685; CCI-001686; CCI-001991; CCI-002041; CCI-002130; CCI-002132; CCI-002145; CCI-002238; CCI-002361,AvePoint Compliance Guardian Security Technical Implementation Guide
SV-253523r879522_rule,V-253523,SV-253523r879522_rule,286,CCI-000015; CCI-000016; CCI-000017; CCI-000044; CCI-000048; CCI-000050; CCI-000195; CCI-000198; CCI-000199; CCI-000200; CCI-000213; CCI-000765; CCI-000766; CCI-000767; CCI-000768; CCI-000795; CCI-001683; CCI-001684; CCI-001685; CCI-001686; CCI-002041; CCI-002142; CCI-002145; CCI-002238,Palo Alto Networks Prisma Cloud Compute Security Technical Implementation Guide
SV-248519r853745_rule,V-248519,SV-248519r853745_rule,286,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000154; CCI-000158; CCI-000169; CCI-000172; CCI-001464; CCI-001487; CCI-001814; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882; CCI-001889; CCI-001914; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-248520r853746_rule,V-248520,SV-248520r853746_rule,286,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000154; CCI-000158; CCI-000169; CCI-000172; CCI-001464; CCI-001487; CCI-001814; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882; CCI-001889; CCI-001914; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-254555r894454_rule,V-254555,SV-254555r894454_rule,238,CCI-000018; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000172; CCI-000366; CCI-001403; CCI-001404; CCI-001464; CCI-001487; CCI-001814; CCI-001851; CCI-001889; CCI-001890; CCI-002130; CCI-002234; CCI-002884,Rancher Government Solutions RKE2 Security Technical Implementation Guide
SV-238298r853421_rule,V-238298,SV-238298r853421_rule,226,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000154; CCI-000158; CCI-000169; CCI-000172; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882; CCI-001914,Canonical Ubuntu 20.04 LTS Security Technical Implementation Guide
SV-237899r858927_rule,V-237899,SV-237899r858927_rule,214,CCI-000018; CCI-000067; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-001487; CCI-001844; CCI-002160; CCI-002264; CCI-002914,IBM zVM Using CA VM:Secure Security Technical Implementation Guide
SV-234066r612749_rule,V-234066,SV-234066r612749_rule,214,CCI-000056; CCI-000166; CCI-000187; CCI-000768; CCI-000766; CCI-000767; CCI-000764; CCI-000765; CCI-001133; CCI-000877; CCI-000879; CCI-001941; CCI-001953; CCI-001954; CCI-002009; CCI-002010; CCI-002314; CCI-002322,Tanium 7.3 Security Technical Implementation Guide
SV-219225r853377_rule,V-219225,SV-219225r853377_rule,214,CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000154; CCI-000158; CCI-000169; CCI-000172; CCI-001814; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001914; CCI-002884,Canonical Ubuntu 18.04 LTS Security Technical Implementation Guide
