"Original Name","Hostname","STIG"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-1_IE 11 STIG_V2R4","DC-1","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-1_MS Defender Antivirus_V2R4","DC-1","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-1_MS Dot Net Framework_V2R2","DC-1","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-1_Windows Firewall with Advanced Security_V2R2","DC-1","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-1_Windows Server 2016 STIG_V2R7","DC-1","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-2_IE 11 STIG_V2R4","DC-2","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-2_MS Defender Antivirus_V2R4","DC-2","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-2_MS Dot Net Framework_V2R2","DC-2","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-2_Windows Firewall with Advanced Security_V2R2","DC-2","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_DC-2_Windows Server 2016 STIG_V2R7","DC-2","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-BADGE-1_IE 11 STIG_V2R4","LENEL-BADGE-1","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-BADGE-1_MS Defender Antivirus_V2R4","LENEL-BADGE-1","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-BADGE-1_MS Dot Net Framework_V2R2","LENEL-BADGE-1","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-BADGE-1_MS Edge STIG_V1R7","LENEL-BADGE-1","MS Edge STIG_V1R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-BADGE-1_MS Windows 10 STIG_V2R8","LENEL-BADGE-1","MS Windows 10 STIG_V2R8"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-BADGE-1_Windows Firewall with Advanced Security_V2R2","LENEL-BADGE-1","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-1_IE 11 STIG_V2R4","LENEL-SERVER-1","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-1_MS Defender Antivirus_V2R4","LENEL-SERVER-1","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-1_MS Dot Net Framework_V2R2","LENEL-SERVER-1","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-1_MS Edge STIG_V1R7","LENEL-SERVER-1","MS Edge STIG_V1R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-1_Windows Firewall with Advanced Security_V2R2","LENEL-SERVER-1","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-1_Windows Server 2016 STIG_V2R7","LENEL-SERVER-1","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-2_IE 11 STIG_V2R4","LENEL-SERVER-2","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-2_MS Defender Antivirus_V2R4","LENEL-SERVER-2","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-2_MS Dot Net Framework_V2R2","LENEL-SERVER-2","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-2_MS Edge STIG_V1R7","LENEL-SERVER-2","MS Edge STIG_V1R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-2_Windows Firewall with Advanced Security_V2R2","LENEL-SERVER-2","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_LENEL-SERVER-2_Windows Server 2016 STIG_V2R7","LENEL-SERVER-2","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-1_IE 11 STIG_V2R4","MGMT-SERVER-1","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-1_MS Defender Antivirus_V2R4","MGMT-SERVER-1","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-1_MS Dot Net Framework_V2R2","MGMT-SERVER-1","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-1_Windows Firewall with Advanced Security_V2R2","MGMT-SERVER-1","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-1_Windows Server 2016 STIG_V2R7","MGMT-SERVER-1","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-2_IE 11 STIG_V2R4","MGMT-SERVER-2","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-2_MS Defender Antivirus_V2R4","MGMT-SERVER-2","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-2_MS Dot Net Framework_V2R2","MGMT-SERVER-2","MS Dot Net Framework_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-2_Windows Firewall with Advanced Security_V2R2","MGMT-SERVER-2","Windows Firewall with Advanced Security_V2R2"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_MGMT-SERVER-2_Windows Server 2016 STIG_V2R7","MGMT-SERVER-2","Windows Server 2016 STIG_V2R7"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_IE 11 STIG_V2R4","NMS-1","IE 11 STIG_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_MS Defender Antivirus_V2R4","NMS-1","MS Defender Antivirus_V2R4"
"(CUI)CNIC_N6S_PSS_NESS-Lenel_NMS-1_MS Dot Net Framework_V2R2","NMS-1","MS Dot Net Framework_V2R2"
